instruction,input,output
"아버지가 갑자기 돌아가셔서 부동산, 예금 등에 대한 정확한 재산상황을 알지 못합니다. 이런 것들은 어떻게 확인할 수 있나요?","가정법률, 후견","◇ 부동산 ☞ 아버지의 부동산 관련 사항은 사망 당시 아버지가 살던 주소지의 시청 군청 구청(지적과)에서 확인할 수 있습니다. ◇ 금융 ☞ 예금, 대출, 보증, 증권계좌, 보험계약, 신용카드 명세는 금융감독원 소비자보호센터(☎ 1332) 또는 다음의 금융업권협회에서 ‘상속인 등에 대한 금융거래조회’를 통해 파악할 수 있습니다. 전국은행연합회 www.kfb.or.kr 소비자보호부 생명보험협회 www.klia.or.kr 소비자보호실 손해보험협회 www.knia.or.kr 소비자보호실 금융투자협회 www.knia.or.kr 분쟁조정팀 종합금융협회 www.ibak.or.kr 업무부 여신금융협회 www.crefia.or.kr 기획부 저축은행중앙회 www.fsb.or.kr 경영지원부 신용협동조합중앙회 www.cu.co.kr 경영지원부 새마을금고연합회 www.kfcc.co.kr 경영지원부 산림조합중앙회 www.nfcf.or.kr 신용사업부 한국예탁결제원 www.ksd.or.kr 증권대행부 우체국 www.epostbank.go.kr 미래창조과학부 우정사업본부"
보험금 지급 청구권은 상속재산에 포함되나요?,"가정법률, 후견","보험금 지급 청구권은 상속재산이 될 수도 있고, 그렇지 않을 수도 있습니다. 피상속인(사망자)이 피보험자이고 보험수익자가 특정상속인인 경우에 보험금 지급 청구권과 이로 인한 보험금은 그 상속인의 고유한 재산이 됩니다. 따라서 상속인 중 한 사람이 보험금 지급 청구권을 갖는다 하더라도 다른 상속인은 이에 대해 상속재산 분할을 청구할 수 없습니다. 반면, 보험수익자를 피상속인(사망자 본인)으로 정한 경우에 보험금 지급 청구권과 이로 인한 보험금은 피상속인의 사망으로 인해 피상속인의 재산에 되므로 상속재산에 해당됩니다."
"부모님께 상속받을 재산보다 빚이 더 많은데, 이 빚도 무조건 상속되나요?","가정법률, 후견","상속인은 상속재산을 조사한 뒤 상속으로 인해 물려받을 채산과 채무를 비교해서 상속을 그대로 승인하거나(단순승인) 한정승인하거나 상속을 포기할 수 있습니다. 상속받을 채무가 상속받을 재산보다 많은 경우에는 상속을 포기하고, 상속채무의 정확한 액수를 모르는 경우에는 상속을 한정승인하는 방법을 고려해볼 수 있습니다. (참고) 상속받을 재산이 상속받을 채무보다 많은 경우에는 상속을 단순승인할 수 있습니다. ◇ 상속의 단순승인 ☞ 상속인이 상속의 효과를 거부하지 않는다는 의사표시입니다. 상속인이 상속의 단순승인을 한 때에는 제한 없이 피상속인의 권리의무를 승계합니다. ◇ 상속의 한정승인 ☞ 상속인이 상속으로 취득하게 될 재산의 한도에서 피상속인의 채무와 유증을 변제할 것으로 조건으로 상속을 승인하려는 의사표시입니다. 상속인이 상속의 한정승인을 한 때에는 상속채무가 상속으로 얻게 되는 적극재산을 초과하는 경우에도 상속인 본인의 재산으로 이를 변제할 의무가 없습니다. ◇ 상속의 포기 ☞ 상속인이 상속개시에 따라 피상속인에게 속하던 재산상 권리의무의 일체가 상속인에게 당연히 이전되는 상속의 효과를 거부한다는 의사표시입니다. 상속의 포기를 한 때에는 처음부터 상속인이 아니었던 것으로 됩니다."
상속의 한정승인과 상속포기의 차이는 무엇인가요?,"가정법률, 후견","상속의 한정승인을 하면 상속재산의 한도에서 상속채무 또는 유증을 변제하면 되므로 변제하지 못한 채무가 있다 하더라도 한정승인자는 상속채무에 대해서 더 이상 책임지지 않아도 됩니다. 그러나 상속인은 여전히 상속인으로 남게 되므로 한정승인자도 단순승인을 한 상속인과 마찬가지로 상속세를 부담합니다. 반면에 상속을 포기하면 그 상속인은 더 이상 상속인의 지위를 갖지 않게 되며, 그 상속재산은 다음 순위의 상속인에게 넘어가게 됩니다. 따라서 자신이 상속을 포기했다고 해서 피상속인의 채무가 모두 소멸하는 것이 아니라, 후순위의 상속인이 되는 사람(예를 들어, 자신의 자녀, 손자 등)이 이를 상속받을 수 있음을 주의해야 합니다. 즉, 상속을 포기할 때에는 후순위 상속인까지 모두 상속을 포기하게 하는 것이 좋습니다."
"이혼소송 진행 중에 부인이 교통사고로 사망했습니다.
이혼판결이 확정되기 전에 사망했어도 남편이 상속인이 될 수 있나요?","가정법률, 후견","남편은 상속인이 될 수 있습니다. 상속은 피상속인(여기서 부인)이 사망한 때부터 이루어집니다. 따라서 피상속인이 사망했을 당시 질문자가 피상속인과 어떤 관계였는지에 따라 상속인인지 아닌지가 결정됩니다. 배우자를 상속할 자격은 혼인신고를 유효하게 한 법률상의 부부인 것으로 충분하며 사망 당시 별거, 이혼소송 여부 등은 전혀 상관없습니다. ◇ 상속결격사유 ☞ 다음 어느 하나에 해당하는 사람은 상속인이 될 수 없습니다. 1. 고의로 직계비속, 피상속인, 그 배우자 또는 상속의 선순위나 동순위에 있는 사람을 살해하거나 살해하려고 한 사람 2. 고의로 직계존속, 피상속인과 그 배우자에게 상해를 가해서 사망에 이르게 한 사람 3. 사기 또는 강박으로 피상속인의 상속에 관한 유언 또는 유언의 철회를 방해한 사람 4. 사기 또는 강박으로 피상속인의 상속에 관한 유언을 하게 한 사람 5. 피상속인의 상속에 관한 유언서를 위조 변조 파기 또는 은닉한 사람"
자녀를 데리고 재혼했는데 재혼한 배우자가 사망했어요. 제가 데려온 자녀가 재혼 배우자의 재산을 상속받을 수 있나요?,"가정법률, 후견",부모가 사망하면 자녀는 사망한 부모의 직계비속으로서 상속인의 지위를 갖게 됩니다. 재혼해서 전혼 자녀를 친양자 또는 일반양자로 입양한 경우에는 재혼 부부와 전혼 자녀 사이에 친자관계가 발생하므로 그 자녀는 재혼 배우자의 상속인이 되어 상속받을 수 있습니다. 그러나 재혼 후 전혼 자녀를 입양하지 않은 경우에는 재혼 배우자와 그 자녀 사이에 친자관계가 존재하지 않기 때문에 전혼 자녀는 재혼 배우자의 상속인이 될 수 없습니다. ☞ 따라서 재혼 후 재혼 배우자의 일반양자로 입양하면 전 배우자의 자녀는 재혼 배우자와 전 배우자 모두의 상속인이 될 수 있게 됩니다.
혼인신고 없이 살고 있는데 부인이 사망했어요. 부인의 재산을 상속받을 수 있나요?,"가정법률, 후견","법에 따르면 배우자는 다른 상속인이 있으면 공동으로, 다른 상속인이 없으면 단독으로 상속인이 됩니다. 여기서의 배우자는 혼인신고를 마친 법률상 배우자를 의미하므로 사실혼 배우자는 재산을 상속받을 수 없는 것이 원칙입니다. 그러나 사실혼 관계를 입증하면 국민연금 등 각종 유족연금의 수혜자가 될 수 있습니다. 또한, 피상속인(사실혼 부인)이 상속인 없이 사망한 경우에 사실혼 배우자는 그의 상속재산에 대해 특별연고자로서 그 분여(分與)를 청구할 수 있습니다. ◇ 특별연고자에 대한 분여심판 ☞ 사실혼 관계에 있던 사람 등 피상속인이 사망할 당시에 특별한 연고가 있는 사람은 법원에 상속재산의 전부 또는 일부를 분여해 줄 것을 청구할 수 있습니다. 상속재산 분여에 관한 심판 청구는 상속인수색공고기간이 만료된 후 2개월 이내에 해야 합니다."
"혼인신고를 하기 전에 남편이 죽었어요. 지금 살고 있는 전셋집이 남편명의로 되어 있는데, 상속받아서 제 명의로 바꿀 수 있을까요?","가정법률, 후견","법에 따르면 배우자는 다른 상속인이 있으면 공동으로, 다른 상속인이 없으면 단독으로 상속인이 됩니다. 여기서의 배우자는 혼인신고를 마친 법률상 배우자를 의미하므로 사실혼 배우자는 전셋집 등의 재산을 상속받을 수 없는 것이 원칙입니다. 그러나 사실혼 부부가 함께 거주하던 집이 있는 경우에 임차인인 남편이 상속인 없이 사망했다면 해당 주택에서 가정공동생활을 하던 사실혼 배우자가 임차인의 권리와 의무를 승계합니다."
"임신 중에 남편이 사망했어요.
남편의 재산은 저 혼자 상속하나요? 아니면 앞으로 태어날 아기와 함께 상속하나요?","가정법률, 후견","상속이 개시되는 시점에 살아있는 사람만이 상속인이 될 수 있지만, 태아의 경우는 예외적으로 태어나지 않았어도 이미 출생한 것으로 봅니다. 즉, 태아가 상속 개시 시점에는 출생하지 않았더라도 상속 후 출생하면 상속 개시 당시에 상속인인 것으로 봅니다. ◇ 상속순위 ☞ 상속은 다음의 순위대로 정해지며, 선순위에서 상속이 이루어지면 나머지 상속인은 후순위가 되어 상속받지 못합니다(예를 들어, 1순위 상속인이 있으면 나머지 2~4순위 상속인은 상속받지 못함). 1. 피상속인의 직계비속(자녀 등) 및 법률상 배우자 2. 피상속인의 직계존속(부모 등) 및 법률상 배우자 3. 피상속인의 형제자매 4. 피상속인의 4촌 이내의 방계혈족(이모 등) 상속순위에 따르면 태아는 피상속인의 직계비속으로 상속 1순위가 됩니다. 따라서 질문자는 남편의 단독상속인이 되는 것이 아니라 태아와 공동으로 상속받게 됩니다. 태아의 어머니인 질문자는 친권자의 자격을 가지므로 미성년인 아이의 상속재산을 관리할 수 있습니다."
"시부모님과 남편이 교통사고로 사망했습니다.
장례식이 끝난 후 임신 사실을 알았는데 뱃속의 아기가 시부모님의 재산을 상속받을 수 있나요?","가정법률, 후견","질문과 같은 경우에는 첫째, 태아가 상속인이 되는지와 둘째, 태아가 살아있었다면 상속인이 될 아버지를 대신해서 상속인이 될 수 있는지를 살펴보아야 합니다. 상속 개시 시점에 살아있는 사람만이 상속인이 될 수 있지만, 태아의 경우는 예외적으로 실제로 태어나지 않았어도 이미 출생한 것으로 봅니다. 즉, 태아가 상속 개시 시점에는 출생하지 않았더라도 상속 후 출생하면 상속 개시 당시에 상속인인 것으로 봅니다. 남편이 살아있다면 남편은 시부모님의 직계비속으로 1순위 상속인이 됩니다. 그러나 남편이 사망한 경우에는 그 자녀 또는 배우자가 대습상속인이 되어 아버지의 상속분에 해당하는 상속재산을 대신 상속받을 수 있습니다. 따라서 태아는 질문자(며느리)와 함께 시부모님의 재산을 상속받게 됩니다(질문자와 태아의 상속분은 1.5:1의 비율이 됨). 이 때 태아와 질문자가 받게 되는 상속분은 남편이 외동아들인 경우에는 시부모의 전 재산이 되며, 시부모에게 다른 자녀가 있는 경우에는 이들과 동등한 비율의 재산이 됩니다. 예를 들어, 시부모에게 자식(고모와 남편)이 2명이고 남긴 재산이 5천만원이라면, 고모는 2500만원, 태아와 질문자는 2500만원을 상속받습니다. 이 때 태아와 질문자는 이 상속재산을 1.5:1의 비율로 상속받도록 되어 있으므로 질문자가 1500만원, 태아가 1천만원을 상속받게 됩니다. ◇ 상속순위 ☞ 상속은 다음의 순위대로 정해지며, 선순위에서 상속이 이루어지면 나머지 상속인은 후순위가 되어 상속받지 못합니다(예를 들어, 1순위 상속인이 있으면 나머지 2~4순위 상속인은 상속받지 못함). 1. 피상속인의 직계비속(자녀 등) 및 법률상 배우자 2. 피상속인의 직계존속(부모 등) 및 법률상 배우자 3...."
손자가 친할머니의 재산을 상속받을 수 있나요?,"가정법률, 후견","아버지가 살아있다면 아버지가 할머니의 직계비속으로서 1순위 상속인이 됩니다. 따라서 아버지가 할머니의 재산을 상속하므로 손자가 상속받을 수 있는 재산은 없습니다. 아버지가 사망한 경우에는 손자가 대습상속인이 되므로 할머니의 재산을 상속받을 수 있습니다. 대습상속인이란 상속인이 될 직계비속 또는 형제자매(피대습인)가 상속 개시 전에 사망하거나 결격자가 된 경우에 사망하거나 결격된 사람의 순위에 갈음해서 상속인이 되는 피대습인의 직계비속 또는 배우자를 말합니다. ◇ 상속순위 ☞ 상속은 다음의 순위대로 정해지며, 선순위에서 상속이 이루어지면 나머지 상속인은 후순위가 되어 상속받지 못합니다(예를 들어, 1순위 상속인이 있으면 나머지 2~4순위 상속인은 상속받지 못함). 1. 피상속인의 직계비속(자녀 등) 및 법률상 배우자 2. 피상속인의 직계존속(부모 등) 및 법률상 배우자 3. 피상속인의 형제자매 4. 피상속인의 4촌 이내의 방계혈족(이모 등)"
"가족 간의 불화로 인해 시부모님과 연을 끊은 채 자식을 낳고 살고 있습니다.
남편이 병으로 죽은 후 아이를 혼자 키우느라 경제적으로 무척 어려운 상태입니다.
시부모님은 형편이 넉넉한 편인데, 나중에 재산을 상속받을 수 있을까요?","가정법률, 후견","질문자가 시부모에게 연락을 하지 않았다거나 방문을 하지 않았다는 사실은 상속결격사유에 해당되지 않습니다. 따라서 질문자와 그 자녀는 남편의 대습상속인으로서 시부모님의 재산을 상속할 수 있습니다. ◇ 상속결격사유 ☞ 다음 어느 하나에 해당하는 경우에는 상속인이 될 수 없습니다. 1. 고의로 직계비속, 피상속인, 그 배우자 또는 상속의 선순위나 동순위에 있는 사람을 살해하거나 살해하려고 한 사람 2. 고의로 직계존속, 피상속인과 그 배우자에게 상해를 가해서 사망에 이르게 한 사람 3. 사기 또는 강박으로 피상속인의 상속에 관한 유언 또는 유언의 철회를 방해한 사람 4. 사기 또는 강박으로 피상속인의 상속에 관한 유언을 하게 한 사람 5. 피상속인의 상속에 관한 유언서를 위조 변조 파기 또는 은닉한 사람 ◇ 대습상속인 ☞ 상속인이 될 직계비속 또는 형제자매(피대습인)가 상속개시 전에 사망하거나 결격자가 된 경우에 사망하거나 결격된 사람의 순위에 갈음해서 상속인이 되는 피대습인의 직계비속 또는 배우자입니다. ◇ 자녀가 상속한 재산의 관리 ☞ 자녀의 어머니인 질문자는 친권자의 자격을 가지므로 미성년인 자녀의 상속재산을 관리할 수 있습니다."
"고모는 할아버지와 사이가 안 좋아 몇 년 전부터 연락도 하지 않고 지냈는데 이번에 할아버지가 돌아가셨을 때 장례식장에 오지도 않았어요.
할머니가 진노하셔서 고모에게는 할아버지 재산을 한 푼도 줄 수 없다고 하시는데 그게 가능한가요?","가정법률, 후견","피상속인(여기서 할아버지)의 직계비속인 고모는 1순위 상속인으로 할머니, 다른 형제자매(할아버지의 직계비속을 말함)와 함께 할아버지의 재산을 상속받을 수 있습니다(부모봉양에 소홀히 했다고 해서 상속결격이 된다고 할 수 는 없습니다). 할머니가 할아버지의 재산을 줄 수 없다고 말한 것은 법률상의 구속력이 없으며, 고모의 상속분을 다른 사람이 받았다면 고모는 소송을 통해 해당 상속분을 받을 수 있습니다. ◇ 상속순위 ☞ 상속은 다음의 순위대로 정해지며, 선순위에서 상속이 이루어지면 나머지 상속인은 후순위가 되어 상속받지 못합니다(예를 들어, 1순위 상속인이 있으면 나머지 2~4순위 상속인은 상속받지 못함). 1. 피상속인의 직계비속(자녀 등) 및 법률상 배우자 2. 피상속인의 직계존속(부모 등) 및 법률상 배우자 3. 피상속인의 형제자매 4. 피상속인의 4촌 이내의 방계혈족(이모 등) ◇ 상속결격사유 ☞ 다음 어느 하나에 해당하는 경우에는 상속인이 될 수 없습니다. 1. 고의로 직계비속, 피상속인, 그 배우자 또는 상속의 선순위나 동순위에 있는 사람을 살해하거나 살해하려고 한 사람 2. 고의로 직계존속, 피상속인과 그 배우자에게 상해를 가해서 사망에 이르게 한 사람 3. 사기 또는 강박으로 피상속인의 상속에 관한 유언 또는 유언의 철회를 방해한 사람 4. 사기 또는 강박으로 피상속인의 상속에 관한 유언을 하게 한 사람 5. 피상속인의 상속에 관한 유언서를 위조 변조 파기 또는 은닉한 사람"
"남편이 사망했어요.
지금 시부모님과 함께 살고 있고 남편과의 사이에 아이가 2명 있는데, 남편 재산은 저와 시부모님과 자녀가 함께 상속받나요?","가정법률, 후견","부모님(직계존속으로 2순위), 부인(배우자로서 1순위 또는 2순위와 같이 상속), 자녀 2명(직계비속으로 1순위)을 둔 사람이 사망하면 자녀와 배우자가 1순위 상속인이 되어 공동으로 상속받습니다. 부모님은 2순위로서 후순위 상속인이 되기 때문에 상속받을 수 없습니다. ◇ 상속순위 ☞ 상속은 다음의 순위대로 정해지며, 선순위에서 상속이 이루어지면 나머지 상속인은 후순위가 되어 상속받지 못합니다(예를 들어, 1순위 상속인이 있으면 나머지 2~4순위 상속인은 상속받지 못함). 1. 피상속인의 직계비속(자녀 등) 및 법률상 배우자 2. 피상속인의 직계존속(부모 등) 및 법률상 배우자 3. 피상속인의 형제자매 4. 피상속인의 4촌 이내의 방계혈족(이모 등)"
"미혼인 동생이 사망했는데, 예금이 꽤 있는 걸로 알고 있어요. 부모님도 오래 전에 돌아가셔서 상속받을 사람이 없는데 이 재산은 어떻게 처리되나요?","가정법률, 후견","동생이 미혼이므로 상속순위 중 1순위는 해당이 없으며, 2순위인 부모님은 이미 돌아가셨으므로 상속인이 될 수 없습니다. 만일 할아버지, 할머니가 살아계시면 이들에게 상속이 이루어집니다. 따라서 자녀 없이 사망한 미혼 동생의 경우에는 직계존속이 아무도 없어야만 3순위인 형제자매가 동생의 재산을 상속받게 됩니다. 상속재산은 형제자매의 수에 따라 균분하게 상속됩니다. ◇ 상속순위 ☞ 상속은 다음의 순위대로 정해지며, 선순위에서 상속이 이루어지면 나머지 상속인은 후순위가 되어 상속받지 못합니다(예를 들어, 1순위 상속인이 있으면 나머지 2~4순위 상속인은 상속받지 못함). 1. 피상속인의 직계비속(자녀 등) 및 법률상 배우자 2. 피상속인의 직계존속(부모 등) 및 법률상 배우자 3. 피상속인의 형제자매 4. 피상속인의 4촌 이내의 방계혈족(이모 등)"
"부모님이 일찍 돌아가셔서 할아버지와 할머니가 절 키워주셨어요.
이번에 할아버지가 돌아가셨는데 저도 할아버지의 상속인이 될 수 있나요?
할아버지와 할머니 슬하에는 제 아버지 말고도 고모가 한 분 계십니다.","가정법률, 후견","질문자의 아버지가 사망하지 않았다면 아버지는 할아버지의 직계비속으로서 1순위 상속인이 되어 할머니, 고모와 함께 할아버지의 상속인이 됩니다. 그러나 질문에서처럼 상속인이 될 직계비속(여기서 아버지)이 상속이 개시되기 전에 사망하면 그의 직계비속인 질문자가 대습상속인이 되어 할아버지의 재산을 상속받게 됩니다. 따라서 질문자는 할머니, 고모와 함께 할아버지의 재산을 상속받습니다. ◇ 상속순위 ☞ 상속은 다음의 순위대로 정해지며, 선순위에서 상속이 이루어지면 나머지 상속인은 후순위가 되어 상속받지 못합니다(예를 들어, 1순위 상속인이 있으면 나머지 2~4순위 상속인은 상속받지 못함). 1. 피상속인의 직계비속(자녀 등) 및 법률상 배우자 2. 피상속인의 직계존속(부모 등) 및 법률상 배우자 3. 피상속인의 형제자매 4. 피상속인의 4촌 이내의 방계혈족(이모 등) ◇ 대습상속인 ☞ 상속인이 될 직계비속 또는 형제자매(피대습인)가 상속개시 전에 사망하거나 결격자가 된 경우에 사망하거나 결격된 사람의 순위에 갈음해서 상속인이 되는 피대습인의 직계비속 또는 배우자입니다."
아버지가 돌아가시면서 7억을 남겼어요. 어머니와 저와 동생은 각각 얼마를 상속받게 되나요?,"가정법률, 후견","같은 순위의 상속인이 여러 명인 때에는 그 상속분은 균분(1/n)합니다. 따라서 같은 순위의 상속인인 질문자 본인과 동생은 같은 비율로 상속받습니다. 배우자는 직계비속(자녀) 또는 직계존속(부모)이 있는 경우 이들과 공동상속을 받습니다. 배우자는 이들보다 50%를 더 상속받습니다. 따라서 질문에서의 어머니는 질문자 본인과 동생의 상속분 보다 1.5배를 더 상속받습니다. 아버지가 아내와 자녀 2명을 두고, 7억원을 남기고 사망했다면 [아내인 어머니:질문자 본인:동생 = 1.5:1:1]의 비율로 상속받습니다. 즉, 질문자의 어머니는 3억원[7억원X1.5/(1.5+1.0+1.0)], 질문자 본인과 동생은 각각 2억원[7억원X1.0/(1.5+1.0+1.0)]씩 상속받게 됩니다."
